"x_fb_i","w_fb_i","z_fbU_i","z_fbL_i"
0,-2.49738058734541e-20,0.000732297137047046,-0.000199135012402125
3.89653245869674e-05,2.69314892530715e-05,0.000732297137047046,-0.000252008222877756
7.79306491739349e-05,5.37428006761236e-05,0.000732297137047046,-0.000356130180581524
0.000116895973760902,8.04341506944941e-05,0.000727750173872615,-0.000383660198990107
0.00015586129834787,0.000107005755733521,0.00075842602632026,-0.00041119021739869
0.000194826622934837,0.000133457832218543,0.000789101878767905,-0.000438720235807273
0.000233791947521805,0.000159790596574897,0.00081977773121555,-0.000466250254215856
0.000272757272108772,0.000186004265227922,0.000830915616325667,-0.000493780272624439
0.00031172259669574,0.000212099054602955,0.000858749244369569,-0.000521310291033021
0.000350687921282707,0.000238075181125336,0.000886582872413471,-0.000548840309441604
0.000389653245869675,0.0002639328612204,0.000914416500457372,-0.000576370327850187
0.000428618570456642,0.000289672311313488,0.000942250128501274,-0.00060390034625877
0.000467583895043609,0.000315293747829936,0.000970083756545176,-0.000631430364667353
0.000506549219630577,0.000340797387195083,0.000997917384589078,-0.000658960383075936
0.000545514544217544,0.000366183445834267,0.00102575101263298,-0.000686490401484519
0.000584479868804512,0.000391452140172825,0.00105358464067688,-0.000714020419893102
0.000623445193391479,0.000416603686636096,0.00108141826872078,-0.000741550438301685
0.000662410517978447,0.000441638301649419,0.00110925189676468,-0.000769080456710268
0.000701375842565414,0.000466556201638129,0.00113708552480859,-0.000796610475118851
0.000740341167152382,0.000491357603027567,0.00116491915285249,-0.000824140493527434
0.000779306491739349,0.00051604272224307,0.00119275278089639,-0.000851670511936016
0.000818271816326316,0.000540611775709976,0.00122058640894029,-0.000879200530344599
0.000857237140913284,0.000565064979853622,0.00124842003698419,-0.000906730548753182
0.000896202465500251,0.000589402551099347,0.0012762536650281,-0.000934260567161765
0.000935167790087219,0.00061362470587249,0.001304087293072,-0.000961790585570348
0.000974133114674186,0.000637731660598387,0.0013319209211159,-0.000989320603978931
0.00101309843926115,0.000661723631702378,0.0013597545491598,-0.00101685062238751
0.00105206376384812,0.000685600835609799,0.0013875881772037,-0.0010443806407961
0.00109102908843509,0.00070936348874599,0.0014154218052476,-0.00107191065920468
0.00112999441302206,0.000733011807536288,0.00144325543329151,-0.00109944067761326
0.00116895973760902,0.00075654600840603,0.00147108906133541,-0.00112697069602185
0.00120792506219599,0.000779966307780556,0.00149142233100629,-0.0011648851652694
0.00124689038678296,0.000803272922085203,0.00149950800294074,-0.00118513791121638
0.00128585571136993,0.000826466067745309,0.00150759367487518,-0.00120539065716337
0.00132482103595689,0.000849545961186212,0.00151567934680962,-0.00122564340311036
0.00136378636054386,0.000872512818833251,0.00152376501874407,-0.00124589614905735
0.00140275168513083,0.000895366857111763,0.00153793114951923,-0.00128197520320516
0.0014417170097178,0.000918108292447086,0.0015441969200684,-0.00131142764686071
0.00148068233430476,0.000940737341264559,0.00155046269061757,-0.00134088009051626
0.00151964765889173,0.000963254219989518,0.00155672846116674,-0.00137033253417181
0.0015586129834787,0.000985659145047303,0.00156299423171591,-0.00139978497782736
0.00159757830806567,0.00100795233286325,0.00156926000226508,-0.00142923742148291
0.00163654363265263,0.0010301339998627,0.00158410216482899,-0.00147164405288846
0.0016755089572396,0.00105220436247099,0.00159384127189433,-0.00150519975091975
0.00171447428182657,0.00107416363711346,0.00160358037895966,-0.00153875544895104
0.00175343960641354,0.00109601204021544,0.001613319486025,-0.00157231114698234
0.0017924049310005,0.00111774978820227,0.00162887423892923,-0.00161347511887111
0.00183137025558747,0.0011393770974993,0.00164011829463154,-0.00164644828941556
